gps_natural_travel,accelerometer_active,pressure_consistency,cell_tower_match,work_history_match,no_active_order,is_fraud
83.33,100.0,75.7,72.32,19.66,72.09,0
100.0,98.55,91.39,94.84,80.84,69.63,0
53.28,63.44,72.12,73.59,24.37,52.16,0
90.99,83.08,64.82,97.59,36.47,0.0,1
69.47,77.58,65.16,63.29,17.73,0.0,1
89.3,93.47,53.44,98.2,88.54,92.55,0
93.51,88.56,64.67,100.0,86.11,83.23,0
65.08,85.9,75.6,71.07,22.79,77.74,0
63.2,91.75,73.48,78.1,56.88,77.3,0
81.15,72.43,85.04,91.82,92.98,78.78,0
64.98,98.22,72.98,65.75,58.68,85.56,0
65.74,86.51,48.89,72.13,2.81,18.92,1
91.05,73.85,100.0,92.09,94.19,93.27,0
81.87,87.86,79.26,70.76,27.88,86.05,0
55.49,71.27,96.46,66.61,60.63,94.55,0
53.05,81.04,82.53,79.27,100.0,21.71,1
63.41,77.56,59.64,66.43,93.82,72.97,0
97.81,87.58,98.13,90.2,96.69,96.32,0
70.02,67.72,90.3,63.84,100.0,100.0,0
74.07,100.0,87.68,67.67,100.0,76.47,0
89.84,91.04,99.18,94.92,100.0,89.29,0
73.19,100.0,85.13,88.97,87.6,97.57,0
69.41,59.19,93.74,75.95,80.39,91.9,0
80.21,90.71,100.0,67.83,48.32,63.04,0
90.18,94.52,93.83,92.03,41.56,81.81,0
96.45,93.38,90.98,96.67,100.0,93.2,0
73.24,59.25,80.42,59.81,71.57,78.71,0
80.79,80.75,85.39,85.58,80.76,100.0,0
89.69,99.72,68.83,70.54,37.45,100.0,0
81.04,93.3,91.3,88.35,76.68,75.49,0
79.51,90.18,81.62,76.42,100.0,90.84,0
78.03,66.51,100.0,90.17,27.85,74.64,0
77.84,100.0,96.39,79.0,99.64,77.92,0
80.53,92.02,78.52,97.82,62.28,75.2,0
100.0,83.52,100.0,93.09,78.3,88.58,0
98.91,75.3,80.8,77.81,97.29,88.09,0
76.17,85.02,73.6,94.03,62.22,87.6,0
95.35,77.72,86.4,89.33,42.36,89.23,0
64.46,72.73,90.11,64.16,91.55,91.32,0
99.95,63.51,87.09,76.65,79.59,82.84,0
90.19,72.88,77.48,92.7,47.4,82.59,0
60.06,80.58,79.26,69.4,84.13,2.59,1
55.19,83.21,91.36,70.07,33.73,96.48,0
93.97,85.82,51.41,87.43,46.83,89.39,0
70.06,90.2,64.46,63.78,85.85,95.46,0
81.55,74.86,59.74,79.32,75.59,94.03,0
92.73,90.85,77.28,100.0,100.0,78.38,0
85.3,97.04,82.79,89.83,88.61,75.13,0
80.2,78.96,76.62,75.42,100.0,91.03,0
81.41,81.2,86.36,74.57,49.14,85.53,0
68.6,83.23,86.2,66.08,100.0,79.49,0
67.02,78.66,100.0,62.83,80.93,0.0,1
62.48,88.18,86.2,71.2,56.05,80.63,0
86.08,82.35,84.85,97.58,67.75,92.64,0
61.51,100.0,65.99,73.73,84.98,100.0,0
71.35,97.67,84.51,72.7,80.2,92.96,0
89.86,99.69,71.63,78.06,67.24,86.77,0
12.16,9.39,7.68,1.33,13.57,14.75,1
81.05,63.05,87.87,70.99,85.38,86.22,0
74.94,77.92,86.66,83.73,38.61,51.01,1
81.17,93.18,77.37,69.61,37.07,70.58,0
87.88,74.67,75.64,74.06,76.29,83.06,0
60.62,70.78,79.88,61.36,49.49,68.81,0
68.07,86.99,97.53,73.62,23.42,5.74,1
98.43,67.05,97.55,75.38,75.99,94.74,0
80.44,78.89,71.47,71.76,91.38,81.29,0
59.3,66.48,65.74,58.49,66.42,77.21,0
93.66,95.24,91.96,97.25,91.79,98.86,0
79.55,72.51,99.2,72.52,75.61,100.0,0
71.54,100.0,96.89,57.4,90.96,84.43,0
57.98,81.59,82.76,71.83,79.75,98.77,0
98.03,80.22,93.0,85.18,72.76,80.11,0
83.97,85.12,86.56,91.78,0.0,11.69,1
100.0,100.0,85.92,76.44,90.71,78.18,0
91.64,62.36,84.51,85.85,22.99,85.51,0
79.85,91.94,77.18,100.0,93.32,91.48,0
68.81,99.99,70.86,69.46,88.92,91.59,0
100.0,89.52,69.99,100.0,79.71,100.0,0
78.6,89.06,100.0,88.08,90.99,94.24,0
77.21,94.93,69.88,91.0,81.65,92.59,0
91.85,94.88,69.01,100.0,100.0,95.49,0
60.87,84.79,100.0,83.0,58.96,94.2,0
97.39,72.07,80.27,89.04,100.0,100.0,0
82.2,81.48,84.19,70.55,76.33,87.07,0
63.79,83.01,79.05,49.57,70.21,75.16,0
88.6,75.15,80.9,100.0,54.55,82.35,0
71.48,74.7,76.8,67.36,82.52,65.52,0
85.31,97.61,70.91,89.01,51.36,91.28,0
59.2,100.0,73.92,81.69,90.17,94.49,0
62.79,83.19,72.49,58.93,22.91,80.59,0
59.5,97.05,75.46,82.39,56.08,83.78,0
85.69,91.29,91.59,76.45,61.59,86.45,0
98.55,100.0,84.77,88.8,56.28,100.0,0
84.4,84.65,75.55,89.11,74.65,88.38,0
57.85,92.55,93.61,84.72,94.54,97.45,0
57.91,77.37,94.56,65.37,74.48,68.89,0
85.5,94.02,82.0,81.18,71.51,93.42,0
62.18,60.6,83.45,74.8,68.87,93.8,0
72.17,77.38,83.3,63.36,100.0,78.36,0
76.36,68.51,99.51,72.94,87.31,83.12,0
99.51,73.62,86.68,89.21,95.35,93.38,0
63.81,86.35,80.26,80.89,81.48,90.4,0
97.32,100.0,85.94,78.84,77.39,100.0,0
100.0,73.34,68.87,96.74,100.0,89.86,0
76.73,82.64,100.0,69.93,86.58,93.61,0
62.92,95.77,86.35,65.68,100.0,83.24,0
94.42,69.66,81.57,100.0,40.51,95.31,0
72.83,89.12,92.29,73.61,89.27,94.76,0
77.57,95.93,85.86,81.31,5.24,81.2,0
56.73,100.0,100.0,67.59,74.52,87.84,0
75.89,79.53,75.15,73.52,94.39,91.9,0
60.32,85.08,65.31,58.85,14.52,100.0,0
62.52,82.58,98.47,80.47,100.0,68.11,0
65.58,88.69,100.0,66.1,69.2,86.89,0
89.23,82.81,75.97,65.73,69.96,91.26,0
85.48,78.85,92.34,89.95,50.87,90.27,0
74.09,100.0,65.17,68.83,19.45,90.18,0
68.98,96.77,81.84,50.86,67.98,90.25,0
99.4,99.02,99.86,93.47,60.79,96.6,0
84.99,100.0,77.36,74.44,70.16,78.08,0
85.15,81.27,75.93,83.16,62.37,79.55,0
79.86,73.41,91.66,94.52,53.6,84.26,0
92.67,96.95,78.92,100.0,91.0,100.0,0
82.98,71.27,87.46,92.54,34.75,85.13,0
57.06,86.93,66.26,65.87,75.37,100.0,0
93.59,98.99,84.7,88.17,76.42,77.27,0
87.26,85.94,73.67,86.17,41.08,79.95,0
73.19,73.63,96.54,66.06,61.52,98.95,0
69.3,89.58,91.67,62.89,84.0,81.95,0
71.91,87.59,66.9,56.68,57.41,90.68,0
100.0,80.93,100.0,100.0,100.0,77.3,0
67.03,88.81,63.25,84.46,99.4,89.27,0
57.29,80.54,83.37,72.79,65.11,90.88,0
81.1,79.4,100.0,94.72,79.19,69.1,0
94.23,78.29,84.81,84.75,73.01,88.07,0
88.78,57.49,57.67,88.35,67.92,23.87,1
80.75,100.0,68.15,63.17,16.34,0.0,1
93.61,73.76,100.0,85.5,24.2,80.99,0
81.13,82.65,94.26,92.75,64.64,96.54,0
81.61,82.15,94.19,94.93,14.97,95.21,0
74.35,85.75,72.38,80.78,57.84,86.58,0
79.21,92.83,85.96,76.98,61.84,72.7,0
81.12,90.79,93.63,95.75,75.08,70.72,0
78.46,88.68,94.95,79.45,93.43,79.76,0
57.88,96.35,84.24,76.28,19.54,27.88,1
91.15,100.0,53.41,95.2,18.62,86.12,0
67.04,100.0,96.13,97.13,99.15,81.7,0
79.09,95.36,81.98,69.2,72.07,84.36,0
61.56,95.13,71.67,64.37,88.65,100.0,0
91.11,70.97,94.07,93.86,30.63,20.79,1
84.76,68.23,90.12,86.05,100.0,93.97,0
78.12,84.38,66.01,78.73,85.72,90.16,0
51.34,87.24,62.56,68.0,100.0,2.9,1
72.23,99.94,78.55,75.01,61.03,82.39,0
80.72,88.05,70.31,76.49,5.67,81.64,0
57.02,99.93,80.8,60.23,31.26,75.78,0
75.82,84.85,56.1,60.21,98.13,0.66,1
100.0,90.68,89.03,100.0,100.0,75.63,0
75.55,75.86,99.28,82.16,78.19,81.97,0
60.42,88.41,75.73,74.67,60.61,87.02,0
88.08,100.0,92.41,98.73,100.0,67.93,0
61.07,73.02,83.28,76.37,16.17,22.26,1
77.33,83.85,75.76,88.87,51.62,76.53,0
83.07,84.47,67.08,77.07,74.42,74.2,0
97.74,72.47,94.09,92.5,82.24,85.38,0
78.09,100.0,79.58,75.29,94.9,77.12,0
13.21,6.63,15.58,2.66,12.26,12.98,1
77.76,86.87,77.94,60.3,83.89,82.72,0
53.48,71.22,99.64,68.26,97.32,90.41,0
67.98,72.04,77.62,70.14,75.32,95.0,0
